timestamp,uso_cpu,memoria
2024-10-01T11:02:23.762259,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:02:33.766343,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:02:43.767685,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:02:53.770094,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:03.772457,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:13.775054,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:23.777786,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:33.781403,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:43.783609,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:03:53.786036,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:03.787469,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:13.789998,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:23.792895,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:33.795517,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:43.797708,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:04:53.800187,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:03.802585,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:13.805184,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:23.807667,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:33.810401,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:43.813252,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:05:53.815365,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:03.817249,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:13.820455,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:23.823104,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:33.825842,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:43.828395,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:06:53.831386,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:07:03.834595,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
